status,symbol,company_name,financial_year_end
ACTIVE,BCBTT,BCB HOLDINGS LIMITED,31-Mar
ACTIVE,MOV,MORA VEN HOLDINGS LIMITED,31-Dec
ACTIVE,CPF,FORTRESS CARIBBEAN PROPERTY FUND,30-Sep
ACTIVE,PPMF,PRAETORIAN PROPERTY MUTUAL FUND,30-Sep
ACTIVE,CIF,CLICO INVESTMENT FUND,31-Dec
ACTIVE,LJWP,WILLIAMS LJ 8% PREFERENCE,31-Mar
SUSPENDED,FNCU,FNCU VENTURE CAPITAL COMPANY LIMITED,31-Dec
ACTIVE,LJWA,WILLIAMS LJ 0.10 A,31-Mar
ACTIVE,GMLP,GUARDIAN MEDIA LIMITED LIMITED 50.00 6% CUMULATIVE PREFERENCE,31-Dec
ACTIVE,SIJL,SCOTIA INVESTMENTS JAMAICA LIMITED,31-Oct
ACTIVE,SFC,SAGICOR FINANCIAL CORPORATION,31-Dec
ACTIVE,JMMB,JAMAICA MONEY MARKET BROKERS LIMITED,31-Mar
ACTIVE,AMBL,ANSA MERCHANT BANK LIMITED,31-Dec
ACTIVE,NEL,NATIONAL ENTERPRISES LIMITED,31-Mar
ACTIVE,GHL,GUARDIAN HOLDINGS LIMITED,31-Dec
ACTIVE,LJWB,WILLIAMS LJ B,31-Mar
ACTIVE,PHL,PRESTIGE HOLDINGS LIMITED,30-Nov
ACTIVE,AGL,AGOSTINI'S LIMITED,30-Sep
ACTIVE,TCL,TRINIDAD CEMENT LIMITED,31-Dec
ACTIVE,WCO,THE WEST INDIAN TOBACCO COMPANY LIMITED,31-Dec
ACTIVE,RML,READYMIX (WEST INDIES) LIMITED,31-Dec
ACTIVE,FFL,FLAVORITE FOODS LIMITED,31-Dec
ACTIVE,BER,BERGER PAINTS TRINIDAD LIMITED,31-Mar
ACTIVE,UCL,UNILEVER CARIBBEAN LIMITED,31-Dec
ACTIVE,OCM,ONE CARIBBEAN MEDIA LIMITED,31-Dec
ACTIVE,NFM,NATIONAL FLOUR MILLS LIMITED,31-Dec
ACTIVE,GML,GUARDIAN MEDIA LIMITED,31-Dec
ACTIVE,AHL,ANGOSTURA HOLDINGS LIMITED,31-Dec
ACTIVE,PLD,POINT LISAS INDUSTRIAL PORT DEVELOPMENT CORPORATION LIMITED,31-Dec
ACTIVE,NML,NEAL & MASSY HOLDINGS LIMITED,30-Sep
ACTIVE,GKC,GRACEKENNEDY LIMITED,31-Dec
ACTIVE,AMCL,ANSA McAL LIMITED,31-Dec
ACTIVE,NCBJ,NATIONAL COMMERCIAL BANK JAMAICA LIMITED,30-Sep
ACTIVE,SBTT,SCOTIABANK TRINIDAD & TOBAGO LIMITED,31-Oct
ACTIVE,RBL,REPUBLIC BANK LIMITED,30-Sep
ACTIVE,FCI,FIRSTCARIBBEAN INTERNATIONAL BANK LIMITED,31-Oct
